,0
0,"Merhaba, İçeriklerinizi beğerekek takip ediyorum fakat Bu kadar abone kitlene sahip olmana rağmen Filistinde öldürülen masumlar özellikle çocuklar için sesini çıkarmadan beni üzdü.Sizinde çocuğunuz var kayıtsız kalmanıza diyecek söz bulamıyorum."
1,sizi çok kıskandım :)
2,Aynı zamanda İngilizce’de Tardis sözlüğe girmiş bir kelime. Anlamı içi dışından büyük nesne. 😊
3,Sondaki aglayan melek 😢😢😢
4,Ürünün yapım atölyesinde çalıştım barış abi çok kaliteli malzeme
5,i don&#39;t wanna go.
6,Yeni Doktorumuz barış Özcan ❤
7,İzlediğim en iyi videolardan biriydi. Tardis hepimizin hem aklında hem kalbinde unutulmaz bir yoldaş! Seni çok kıskandım.
8,"Fringe dizisinide tavsiye ederim, hayata karşı bakışınız çok değişecek..."
9,"Not a frequent commenter, but I am currently freaking out. My favourite educational Youtuber is also a DW fan? Literally screaming as I watch this. Your Tardis is beautiful, but I want to especially comment on the editing in this video because it was phenomenal. I don&#39;t even know what was the best part of it, me screaming its smaller on the outside before Clara came on the screen, or all the soundtracks, or the weeping angle at the end, or matt smiths voice reminding us of the dangers? Truly wonderful.  Thank you for this video."
10,❤❤❤
11,Doctor Who fanlarının hayali. Kıskanmamak elde değil 🥲🥰😍
12,"Busypod firması ancak bu şekilde düzenli olarak 6.47 milyon kişiye kendini tanıtır, bir reklam ancak bu kadar güzel yapılır. Bu videoyu yayınlandıktan yaklaşık 1 ay sonra izledim ama marka aklımda kaldı. Aslında fiyatlardan haberim yok inceleyeceğim ama bir tane evimin içerisinde bir koltuk bir masa sığacak ebatta yaptırmak istiyorum hayat o kadar karmaşık ve boş gürültülerin içine girdi ki çoğu zaman bende sessizliğin tadını çıkarmak istiyorum. Çoğu zaman şehir dışına çıkmayı denesem bile üzerimden geçen uçağa &#39;&#39;Biraz yavaş yavaş, kafa dinlemek için buraya geldim sende beni mi takip ettin&#39;&#39; diyerek bağırdığım bol küfürlü tek kişilik protestolarımı üzülerek söylüyorum kimse duymadı sinirlerime bozacak şekilde ardından ülke hava sahasını kullanacak tüm uçakların mecburi geçiş güzergahı benim sessizlik için bulunduğum yöne yönlendirildiler sanki. Diğer deyişle buradan geçersen TC&#39;nin her yerine geçebilirsin buradan geçmezsen savaş uçaklarını kaldırıp sizi vururuz demek istediler sanki."
13,Nice mutlu yıllara
14,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=0m45s"">0:45</a> arka sokaklar"
15,Benden büyük abim ve ablalarım daha ben çok küçükken izliyorlardı ve bazı bölümlerini bana da açıyorlardı. O yüzden çocukluğumun dizisi diyebilirim. Geçen yaz hepsini bu sefer düzenli bir şekilde izledim ve en sevdiğim dizi. Bence aksiyon ve eğlence kısmı ön planda olsa da aslında felsefi bi dizi. Beni bir çok alanda çokça etkiledi. <br>Sondaki Ağlayan meleği görünce gerçekten bi korktum😅
16,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=11m34s"">11:34</a> Weeping angel göndermesi çok iyiydi"
17,Yaa bu benim en sevdigim dizi. Telefonum bile jenerigiyle çalıyor. Videonuzu görünce gözlerim doldu. Hemen izliyorum.
18,Berbat
19,"Video çok güzel olmuş.Benim de kendim yaptığım fan made bir Doctor Who dizim var.<br><br><br>Konusu:En sonki zaman savaşında sağlık durumu cok kötü olan Doktor,Tardis tarafından 150 yıllık bir komaya yatar.O sırada yeni bir rejenarasyon için Doktora beden seçilir.En sonunda doktora 15 yaşındaki bir ergen vücudu <a href=""http://verilir.ve/"">verilir.Ve</a> Doktor bu bedene rejenarasyon geçirir.Sonra bur gün Doktor bu komadan uyanır ve ilk başta yeni erkek ergen vücuduna alışmakta zorlanır ama daha sonrasında çok bur sıkıntı çekmez.Neyse sonra Gallifrey Kaaabasına gelip orada Hayrettin Hoca,Berkay ve Cafer ile tanışır.Bu kişiler doktorun ilk yol arkadaşı olacaktır.Sonrasında ise Dalekler bütün zaman ve mekanda ne varsa her yeri istila etmeye başlar.Sonra Doltor ve ekibi TARDIS&#39;e kaçarlar.Ve ilerki bölümlerde bir adaya gidip orada zaman be mekan problemleri için neler yapabilceklerine bakıcaklar.Kısacası böyle<br><br>Serin ismi:Doctor Who:Minute Hand Pendulum şu an yalnızca iki bölüm çektim.Videolarımı shorst kısmından bulabilirsiniz.İyi seyirler<br><br>İlk hikaye:Teen Reneration"
20,Ah be Güzelim DOCTOR WHO PETER CAPALDİ DEN SONRA MAHVETTİLER MAALESEF DİZİYİ HEPSİ FEMİNİSTLER YÜZÜNDEN OLDU
21,Barış abi Google un geliştirdiği ve GPT yi sollayacak olan GEMINI AI yı bekliyoruz senden  :)))
22,"Vay be duygulandım, Doctor Who ilk izlediğim diziydi. Videonun kapanışı da harika olmuş. Do not blink."
23,tesekkurler
24,"Barış Abi , iyisin"
25,Aşırı aşırı beğendim!! Doctor Who&#39;yu bayılarak izlemiş biri olarak Türkiye&#39;de pek fazla izleyicisi olmadığı için kendimi hep biraz yalnız hissediyordum. Serinin böyle duyulması çok güzel :)
26,Ayayayyaya doctor who aşığı olarak bu video beni bitirdii
27,"Çoğumuzun çocukluğu, gençliği, korkuları, mutluluk gözyaşları; seriyi tamamlayıpta yılbaşı bölümlerinin gelmesini beklerken hissedilen o ince heyecan ve kalp çarpıntısıyla yeniden ansızın karşılaşmak mı ? Hemde sayenizde ✨⏳🌌 teşekkürler"
28,Ne izledik şimdi reklamdan başka?
29,YAAAAAAAAAAAA ÇIĞLIK ATARAK İZLEDİM YAAAAAAAA HARİKASINIZ. 😂❤ KEŞKE BENİM DE TARDİSİM OLSA
30,Barış abi en sonda heykelin arkasından gelen ışık beni kör etti.
31,Dünya düz
32,Harry potterdaki çadır gibi
33,Evet çox guzel bir dizi butun bolumlerini izledim bayiliyorum favorim
34,DON&#39;T BLINK!
35,Şuanki öğrenci şartlarımla sadece tardis anahtarlığı alabilirim😅😅 Emeğiniz ve zevklerinizin birleşiminde çok güzel ve hayal edilesi bir şey ortaya çıkmış tebrik ederim 🙌
36,cok  🖖👽❤
